
CodeIgniter v4.7.4 Command Line Tool - Server Time: 2026-08-24 20:29:30 UTC+07:00

+--------+----------------------------------------------------+------+----------------------------------------------------------------+-------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+
| Method | Route                                              | Name | Handler                                                        | Before Filters                                                                            | After Filters                                                                        |
+--------+----------------------------------------------------+------+----------------------------------------------------------------+-------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+
| GET    | /                                                  | »    | \App\Controllers\Login::index                                  | featureMaintenance csrf                                                                   | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| GET    | main                                               | »    | \App\Controllers\Main::index                                   | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| GET    | main/index                                         | »    | \App\Controllers\Main::index                                   | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | websocket                                          | »    | \App\Controllers\WebSocketController::index                    | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| GET    | data                                               | »    | \App\Controllers\DataController::index                         | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| GET    | permintaanPengiriman/data                          | »    | \App\Controllers\PermintaanPengiriman::data                    | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | permintaanPengiriman/input                         | »    | \App\Controllers\PermintaanPengiriman::input                   | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | permintaanPengiriman/langsung                      | »    | \App\Controllers\PermintaanPengiriman::langsung                | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | permintaanPengiriman/langsung/([^/]+)              | »    | \App\Controllers\PermintaanPengiriman::langsung/$1             | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | permintaanPengiriman/proses/([^/]+)                | »    | \App\Controllers\PermintaanPengiriman::proses/$1               | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | permintaanPengiriman/pilih-cetak/([^/]+)           | »    | \App\Controllers\PermintaanPengiriman::pilihCetak/$1           | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
